STA_NM_ANFR,Lat,Long,COM_CD_INSEE,ADM_LB_NOM,ALT_BASE,ALT_SOMMET,r_2G,r_3G,r_4G
0752290005,48.86666666666667,2.391388888888889,75120,ORANGE,30.5,52.0,oui,oui,oui
0752290010,48.86833333333333,2.2969444444444442,75116,ORANGE,30.8,33.0,oui,oui,oui
0752290011,48.88,2.3383333333333334,75109,ORANGE,36.1,42.0,oui,oui,oui
0752290012,48.891666666666666,2.341666666666667,75118,ORANGE,32.7,36.0,oui,oui,oui
0752290013,48.85472222222222,2.308333333333333,75107,ORANGE,29.0,38.0,oui,oui,oui
0752290015,48.82638888888889,2.371111111111111,75113,ORANGE,30.8,36.0,oui,oui,oui
0752290018,48.88305555555556,2.3516666666666666,75110,ORANGE,31.7,40.0,oui,oui,oui
0752290019,48.85527777777778,2.3316666666666666,75106,ORANGE,47.7,65.0,oui,oui,oui
0752290021,48.864444444444445,2.2830555555555554,75116,ORANGE,32.0,33.0,oui,oui,oui
0752290028,48.86222222222222,2.3697222222222223,75111,ORANGE,35.2,41.0,oui,oui,oui
0752290029,48.84166666666667,2.3016666666666663,75115,ORANGE,37.0,39.7,oui,oui,non
0752290030,48.87166666666667,2.2752777777777777,75116,ORANGE,5.0,5.0,oui,oui,non
0752290031,48.87027777777778,2.3205555555555555,75108,ORANGE,33.1,40.0,oui,oui,oui
0752290038,48.89555555555555,2.321944444444444,75117,ORANGE,24.2,31.0,oui,oui,oui
0752290042,48.85166666666667,2.2666666666666666,75116,ORANGE,30.2,37.0,oui,oui,oui
0752290045,48.885,2.3622222222222224,75118,ORANGE,28.8,30.0,oui,oui,oui
0752290048,48.846944444444446,2.2569444444444446,75116,ORANGE,21.7,26.0,oui,oui,oui
0752290050,48.85777777777778,2.3536111111111113,75104,ORANGE,35.0,36.0,oui,oui,non
0752290052,48.82611111111112,2.345555555555556,75113,ORANGE,42.0,51.0,oui,oui,oui
0752290057,48.86416666666667,2.343055555555556,75101,ORANGE,30.4,37.0,oui,oui,oui
0752290063,48.861666666666665,2.3033333333333332,75107,ORANGE,40.2,50.0,oui,oui,oui
0752290067,48.84305555555556,2.38,75112,ORANGE,35.7,37.0,oui,oui,oui
0752290068,48.879444444444445,2.343055555555556,75109,ORANGE,32.0,34.0,oui,oui,oui
0752290071,48.84861111111111,2.3575,75105,ORANGE,34.2,39.0,oui,oui,oui
0752290075,48.84666666666667,2.312777777777778,75107,ORANGE,31.9,42.0,oui,oui,oui
0752290079,48.884166666666665,2.3205555555555555,75117,ORANGE,33.0,34.0,oui,oui,oui
0752290081,48.87027777777778,2.2905555555555552,75116,ORANGE,29.6,33.0,oui,oui,oui
0752290085,48.83527777777778,2.2991666666666664,75115,ORANGE,31.3,32.0,oui,oui,oui
0752290089,48.848888888888894,2.3027777777777776,75115,ORANGE,31.9,36.0,oui,oui,oui
0752290092,48.87694444444445,2.3738888888888887,75119,ORANGE,23.7,25.0,oui,oui,oui
0752290093,48.8875,2.383611111111111,75119,ORANGE,35.5,37.0,oui,oui,oui
0752290096,48.82694444444445,2.3077777777777775,75114,ORANGE,32.5,35.0,oui,oui,oui
0752290098,48.88027777777778,2.4030555555555555,75119,ORANGE,40.1,41.0,oui,oui,oui
0752290099,48.87777777777778,2.3919444444444444,75119,ORANGE,27.8,34.5,oui,oui,oui
0752290107,48.8925,2.358888888888889,75118,ORANGE,38.3,42.0,oui,oui,oui
0752290117,48.86972222222222,2.3822222222222225,75120,ORANGE,21.8,27.0,oui,oui,non
0752290119,48.84805555555556,2.281111111111111,75115,ORANGE,26.0,28.0,oui,oui,oui
0752290122,48.85166666666667,2.3755555555555556,75111,ORANGE,31.0,35.0,oui,oui,oui
0752290128,48.85388888888889,2.256111111111111,75116,ORANGE,23.8,30.0,oui,oui,oui
0752290131,48.87277777777778,2.242777777777778,75116,ORANGE,18.1,22.0,oui,oui,oui
0752290135,48.893055555555556,2.3316666666666666,75118,ORANGE,42.0,44.0,oui,oui,oui
0752290139,48.83416666666667,2.3238888888888884,75114,ORANGE,32.0,32.0,oui,oui,oui
0752290148,48.83166666666667,2.404444444444444,75112,ORANGE,5.0,7.0,oui,oui,non
0752290152,48.87583333333333,2.2824999999999998,75116,ORANGE,43.0,44.0,oui,oui,non
0752290158,48.82083333333334,2.450555555555556,75112,ORANGE,31.1,40.7,oui,oui,oui
0752290160,48.82638888888889,2.352777777777778,75113,ORANGE,34.8,36.0,oui,oui,oui
0752290163,48.867222222222225,2.3375000000000004,75102,ORANGE,38.8,41.0,oui,oui,oui
0752290165,48.88,2.323611111111111,75108,ORANGE,28.5,32.0,oui,oui,oui
0752290166,48.85861111111111,2.361111111111111,75103,ORANGE,23.9,25.0,oui,oui,oui
0752290167,48.86222222222222,2.3644444444444446,75103,ORANGE,31.8,33.0,oui,oui,oui
0752290168,48.862500000000004,2.358888888888889,75103,ORANGE,43.7,55.0,oui,oui,oui
0752290173,48.86638888888889,2.353888888888889,75103,ORANGE,32.2,33.0,oui,oui,oui
0752290178,48.84138888888889,2.2688888888888887,75116,ORANGE,32.3,36.0,oui,oui,oui
0752290181,48.89722222222222,2.313055555555555,75117,ORANGE,24.5,25.0,oui,oui,oui
0752290182,48.893055555555556,2.3744444444444444,75119,ORANGE,27.5,34.0,oui,oui,oui
0752290184,48.88861111111111,2.3930555555555557,75119,ORANGE,34.0,35.0,oui,oui,oui
0752290185,48.88138888888889,2.3905555555555553,75119,ORANGE,18.3,19.0,oui,oui,oui
0752290186,48.88527777777778,2.3694444444444445,75119,ORANGE,30.3,44.0,oui,oui,oui
0752290188,48.84055555555556,2.401111111111111,75112,ORANGE,38.0,40.0,oui,oui,oui
0752290190,48.87361111111111,2.3825,75119,ORANGE,26.0,28.0,oui,oui,oui
0752290194,48.82555555555556,2.3777777777777778,75113,ORANGE,35.7,43.0,oui,oui,oui
0752290195,48.831388888888895,2.3458333333333337,75113,ORANGE,35.0,37.5,oui,oui,oui
0752290198,48.845,2.4099999999999997,75112,ORANGE,39.3,40.0,oui,oui,oui
0752290202,48.88,2.2983333333333333,75117,ORANGE,36.0,39.0,oui,oui,oui
0752290206,48.84527777777778,2.2847222222222223,75115,ORANGE,36.4,38.0,oui,oui,oui
0752290208,48.84444444444445,2.3041666666666667,75115,ORANGE,39.7,43.0,oui,oui,oui
0752290210,48.844722222222224,2.2916666666666665,75115,ORANGE,28.4,30.0,oui,oui,oui
0752290211,48.82694444444445,2.361388888888889,75113,ORANGE,26.6,28.0,oui,oui,non
0752290212,48.830555555555556,2.3508333333333336,75113,ORANGE,37.0,38.0,oui,oui,oui
0752290213,48.83305555555556,2.3697222222222223,75113,ORANGE,30.0,31.0,oui,oui,non
0752290214,48.84388888888889,2.2605555555555554,75116,ORANGE,32.5,34.0,oui,oui,oui
0752290215,48.859722222222224,2.345277777777778,75101,ORANGE,38.0,43.7,oui,oui,oui
0752290217,48.86416666666667,2.3327777777777774,75101,ORANGE,31.5,33.0,oui,oui,oui
0752290219,48.837500000000006,2.3533333333333335,75105,ORANGE,29.6,31.0,oui,oui,oui
0752290220,48.88805555555555,2.3249999999999997,75117,ORANGE,30.8,33.0,oui,oui,oui
0752290221,48.87638888888889,2.348055555555556,75109,ORANGE,37.3,39.0,oui,oui,oui
0752290223,48.84138888888889,2.388611111111111,75112,ORANGE,40.0,43.0,oui,oui,oui
0752290227,48.87083333333334,2.358611111111111,75110,ORANGE,31.9,34.0,oui,oui,oui
0752290228,48.848333333333336,2.3938888888888887,75112,ORANGE,30.7,35.0,oui,oui,oui
0752290236,48.852222222222224,2.3294444444444444,75106,ORANGE,30.5,32.0,oui,oui,oui
0752290237,48.839444444444446,2.3113888888888887,75115,ORANGE,44.0,44.0,oui,oui,oui
0752290239,48.82611111111112,2.322222222222222,75114,ORANGE,37.6,38.0,oui,oui,oui
0752290240,48.834722222222226,2.306111111111111,75115,ORANGE,37.2,46.0,oui,oui,oui
0752290241,48.84527777777778,2.2977777777777777,75115,ORANGE,29.7,31.0,oui,oui,oui
0752290244,48.87361111111111,2.3097222222222222,75108,ORANGE,34.3,36.0,oui,oui,oui
0752290246,48.87388888888889,2.3252777777777776,75108,ORANGE,34.6,36.0,oui,oui,oui
0752290247,48.87361111111111,2.3372222222222225,75109,ORANGE,43.6,45.0,oui,oui,oui
0752290250,48.845,2.3880555555555554,75112,ORANGE,39.5,41.0,oui,oui,oui
0752290253,48.87694444444445,2.3666666666666667,75110,ORANGE,33.2,35.0,oui,oui,oui
0752290254,48.87916666666667,2.3166666666666664,75108,ORANGE,38.9,41.0,oui,oui,oui
0752290255,48.88305555555556,2.29,75117,ORANGE,30.5,33.0,oui,oui,oui
0752290256,48.856944444444444,2.283333333333333,75116,ORANGE,34.7,36.0,oui,oui,oui
0752290258,48.849444444444444,2.3875,75112,ORANGE,35.1,39.0,oui,oui,non
0752290259,48.88722222222222,2.3180555555555555,75117,ORANGE,30.7,32.0,oui,oui,oui
0752290260,48.88583333333333,2.39,75119,ORANGE,35.0,42.0,oui,oui,oui
0752290262,48.84444444444445,2.279722222222222,75115,ORANGE,32.1,34.0,oui,oui,oui
0752290266,48.861666666666665,2.3205555555555555,75107,ORANGE,30.7,36.0,oui,oui,oui
0752290270,48.836111111111116,2.4025,75112,ORANGE,31.2,32.5,oui,oui,oui
0752290271,48.84527777777778,2.2725,75116,ORANGE,36.8,38.0,oui,oui,oui
0752290272,48.84777777777778,2.2641666666666667,75116,ORANGE,34.0,34.0,oui,non,non
0752290275,48.86361111111111,2.4125,75120,ORANGE,41.9,44.0,oui,oui,oui
0752290276,48.852222222222224,2.401944444444444,75120,ORANGE,39.7,41.0,oui,oui,oui
0752290277,48.830555555555556,2.313055555555555,75114,ORANGE,48.0,52.0,oui,oui,oui
0752290279,48.88527777777778,2.356666666666667,75118,ORANGE,31.5,34.0,oui,oui,oui
0752290280,48.89666666666667,2.3605555555555555,75118,ORANGE,48.1,49.0,oui,oui,oui
0752290281,48.89194444444444,2.3508333333333336,75118,ORANGE,38.5,43.0,oui,oui,oui
0752290282,48.882777777777775,2.341666666666667,75118,ORANGE,34.5,36.0,oui,oui,oui
0752290284,48.83777777777778,2.358611111111111,75113,ORANGE,41.7,64.0,oui,oui,oui
0752290285,48.837500000000006,2.348055555555556,75105,ORANGE,35.6,37.0,oui,oui,oui
0752290286,48.844722222222224,2.340277777777778,75105,ORANGE,36.8,40.0,oui,oui,oui
0752290289,48.86972222222222,2.388333333333333,75120,ORANGE,44.6,47.0,oui,oui,non
0752290290,48.86083333333333,2.3805555555555555,75111,ORANGE,31.5,33.0,oui,oui,non
0752290300,48.87972222222222,2.3299999999999996,75109,ORANGE,34.4,36.0,oui,oui,oui
0752290301,48.87972222222222,2.3697222222222223,75110,ORANGE,33.6,36.2,oui,oui,oui
0752290305,48.87361111111111,2.2852777777777775,75116,ORANGE,32.8,36.0,oui,oui,oui
0752290313,48.870555555555555,2.3755555555555556,75111,ORANGE,24.8,27.0,oui,oui,oui
0752290315,48.88777777777778,2.3377777777777777,75118,ORANGE,27.0,29.0,oui,oui,oui
0752290316,48.89666666666667,2.3305555555555553,75118,ORANGE,31.7,33.0,oui,oui,oui
0752290320,48.85805555555556,2.2666666666666666,75116,ORANGE,32.6,38.0,oui,oui,oui
0752290322,48.83277777777778,2.289722222222222,75115,ORANGE,36.8,40.0,oui,oui,oui
0752290323,48.85583333333334,2.2916666666666665,75115,ORANGE,11.0,25.0,oui,non,non
0752290326,48.83166666666667,2.3858333333333333,75112,ORANGE,31.1,32.0,oui,oui,oui
0752290327,48.882777777777775,2.296111111111111,75117,ORANGE,34.6,36.0,oui,oui,oui
0752290328,48.88611111111111,2.285833333333333,75117,ORANGE,31.8,32.0,oui,oui,oui
0752290329,48.85527777777778,2.326111111111111,75107,ORANGE,30.6,32.0,oui,oui,oui
0752290332,48.84861111111111,2.3505555555555557,75105,ORANGE,31.8,35.0,oui,oui,oui
0752290334,48.882777777777775,2.305833333333333,75117,ORANGE,31.0,32.0,oui,oui,oui
0752290336,48.8525,2.2880555555555553,75115,ORANGE,36.0,36.0,oui,non,non
0752290338,48.85583333333334,2.277222222222222,75116,ORANGE,34.7,35.0,oui,oui,oui
0752290340,48.82222222222222,2.333888888888889,75114,ORANGE,27.1,28.0,oui,oui,oui
0752290341,48.8975,2.338611111111111,75118,ORANGE,37.4,46.0,oui,oui,oui
0752290342,48.846111111111114,2.3291666666666666,75106,ORANGE,29.6,32.0,oui,oui,oui
0752290343,48.838055555555556,2.2880555555555553,75115,ORANGE,35.8,42.0,oui,oui,oui
0752290344,48.85916666666667,2.3302777777777774,75107,ORANGE,8.0,24.0,oui,non,non
