Vacances,Fin_des_cours,Reprise_des_cours
Eté,,04/09/2012
Toussaint,27/10/2012,12/11/2012
Noël,22/12/2012,07/01/2013
Hiver,02/03/2013,18/03/2013
Pâques,27/04/2013,13/05/2013
Eté,06/07/2013,03/09/2013
Toussaint,19/10/2013,04/11/2013
Noël,21/12/2013,06/01/2014
Hiver,15/02/2014,03/03/2014
Pâques,12/04/2014,28/04/2014
Eté,05/07/2014,02/09/2014
Toussaint,18/10/2014,03/11/2014
Noël,20/12/2014,05/01/2015
Hiver,14/02/2015,02/03/2015
Pâques,18/04/2015,04/05/2015
Eté,04/07/2015,01/09/2015
Toussaint,17/10/2015,02/11/2015
Noël,19/12/2015,04/01/2016
Hiver,20/02/2016,07/03/2016
Pâques,16/04/2016,02/05/2016
Eté,06/07/2016,01/09/2016
Toussaint,20/10/2016,03/11/2016
Noël,17/12/2016,03/01/2017
Hiver,04/02/2017,20/02/2017
Pâques,01/04/2017,18/04/2017
Eté,08/07/2017,04/09/2017
Toussaint,21/10/2017,06/11/2017
Noël,23/12/2017,08/01/2018
Hiver,17/02/2018,05/03/2018
Pâques,07/07/2018,03/09/2018
Eté,20/10/2018,05/11/2018
